질문,연령대,성별,전혀 그렇지 않다,그렇지 않다,보통이다,그렇다,매우 그렇다,키워드
남녀 임금 격차에는 타당한 이유가 있다,50대,W,12.3,23.4,30.1,19.8,1.6,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,50대,W,57.4,32.8,10.7,4.9,1.3,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,50대,W,6.4,25,30.2,28.7,4.3,젠더
약자를 공정하게 대우하는 것이 중요하다,50대,W,0.3,4.5,21.1,57.7,16,약자보호
사회적 약자 보호 노력이 과하다,50대,W,7,27.3,40.5,19.4,5.3,평등
부는 노력보다 운에 따라 결정된다,50대,W,6.7,34,35.9,23.4,4,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,50대,W,0,5.8,23.1,56.7,17.4,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,50대,W,1,14.8,19.4,54.4,15.7,전통
요즘 사회는 말에 너무 민감하다,50대,W,0.6,4.3,16.7,58.1,18.7,과민성
부유해지는 것이 삶의 가장 중요한 목표다,50대,W,4,18.9,35.8,32.9,8.3,물질주의
사회가 완전히 무너져야 한다고 생각한다,50대,W,60,31.2,10.3,2.6,0.3,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,50대,W,0.6,3.3,13.5,43.9,38.2,평등
결혼은 개인의 선택이다,50대,W,0,8.9,12.4,53.7,29.8,젠더
극단주의 제압할 강력한 지도자가 필요하다,50대,W,2.7,8.9,20.7,41.9,23.8,권위주의
사회 제도를 허물고 다시 시작해야 한다,50대,W,32.9,34.3,18.1,7.3,1.3,파괴욕구
부정행위자 처벌시 기분이 좋다,50대,W,0.3,5.6,24.5,47.9,23.8,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,50대,W,1.7,9,25.8,46.6,16,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,50대,W,4,21.6,33.4,30.2,13,평등
여성은 가정과 아이들을 우선시해야 한다,50대,W,4.6,16.8,35.2,37.9,3.7,젠더
차별금지법은 도입되어야 한다,50대,W,7,13.5,30.2,42.2,8.3,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,50대,W,16.1,39.6,27.1,10.7,2.7,평등
가족보다 개인의 직업 성공이 더 중요하다,50대,W,5.3,33.3,51.4,10.3,2,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,60대,W,0,3.2,2.5,55,41.3,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,60대,W,4.9,35,42,16.8,1.7,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,60대,W,4,7.6,14.6,65.2,10.6,능력주의
외국 자연재해에 짜릿함을 느낀다,60대,W,51.2,33.7,2.9,3.6,0,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,60대,W,0.7,5.2,9.7,48.2,33.1,평등
노력하는 만큼 소득에 차이가 나야 한다,60대,W,0.5,4.7,7.5,63.9,25.7,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,60대,W,5.1,36.3,38.9,21.3,1.1,보상
연민과 동정은 중요한 덕목이다,60대,W,0.3,8.2,11.4,54,29.8,연민
성공하려면 타인을 눌러야 할 때도 있다,60대,W,12,19.4,21.4,26.2,5.9,능력주의
인류 대부분이 사라지는 상상을 한다,60대,W,52,32,4.5,4,0.6,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,60대,W,0,2.6,2.7,45.5,51,미래
아이를 갖는 것은 사회적 의무다,60대,W,2.7,23.9,23.7,36.2,18.5,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,60대,W,0.3,6.3,11.7,49,32.3,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,60대,W,5.5,26.1,28.6,30.5,8.1,평등
남녀 임금 격차에는 타당한 이유가 있다,60대,W,8,23.4,20.3,38.8,4.6,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,60대,W,54.2,32.8,5.2,2.9,0.3,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,60대,W,1,25,17.8,50.9,13.7,젠더
약자를 공정하게 대우하는 것이 중요하다,60대,W,0,4.5,12.6,52,31.3,약자보호
사회적 약자 보호 노력이 과하다,60대,W,5.7,27.3,35,28.1,8.1,평등
부는 노력보다 운에 따라 결정된다,60대,W,9.6,34,23.9,17.3,3.2,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,60대,W,0,5.8,15.1,52.8,26.9,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,60대,W,5.7,14.8,28.3,44.1,5,전통
요즘 사회는 말에 너무 민감하다,60대,W,0.5,4.3,10.7,57.6,27.6,과민성
부유해지는 것이 삶의 가장 중요한 목표다,60대,W,3.6,18.9,29.4,27.4,7.6,물질주의
사회가 완전히 무너져야 한다고 생각한다,60대,W,58.3,31.2,2.2,1.5,0.9,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,60대,W,0.3,3.3,3.9,41.4,49.9,평등
결혼은 개인의 선택이다,60대,W,4,8.9,14.3,58,12.4,젠더
극단주의 제압할 강력한 지도자가 필요하다,60대,W,3,8.9,5.4,42.6,45.1,권위주의
사회 제도를 허물고 다시 시작해야 한다,60대,W,22.5,34.3,21.9,13,6.1,파괴욕구
부정행위자 처벌시 기분이 좋다,60대,W,1.2,5.6,16,43.3,30.4,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,60대,W,1.9,9,20.6,48,21.2,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,60대,W,5.2,21.6,17.7,33.8,17.8,평등
여성은 가정과 아이들을 우선시해야 한다,60대,W,0.6,16.8,16.4,50.5,21.6,젠더
차별금지법은 도입되어야 한다,60대,W,9.5,13.5,23.8,39.2,8,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,60대,W,16.7,39.6,14.3,18.4,5.8,평등
가족보다 개인의 직업 성공이 더 중요하다,60대,W,9.2,33.3,26.1,11.7,1.2,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,70대,W,0,3.2,11.9,52.6,33.5,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,70대,W,5.5,35,39.4,23.6,4,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,70대,W,0.8,7.6,23.6,55.4,10,능력주의
외국 자연재해에 짜릿함을 느낀다,70대,W,36.8,33.7,8.9,8.7,1.3,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,70대,W,1.2,5.2,8.4,55.9,32,평등
노력하는 만큼 소득에 차이가 나야 한다,70대,W,0,4.7,6.8,65.5,24.1,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,70대,W,5.2,36.3,37.7,28.4,3.9,보상
연민과 동정은 중요한 덕목이다,70대,W,0,8.2,16.5,58.8,22.5,연민
성공하려면 타인을 눌러야 할 때도 있다,70대,W,16.1,19.4,20.5,22.4,6.2,능력주의
인류 대부분이 사라지는 상상을 한다,70대,W,34,32,15.3,10.4,2,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,70대,W,0,2.6,3.4,46,50.5,미래
아이를 갖는 것은 사회적 의무다,70대,W,0.4,23.9,16.1,48.2,21.6,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,70대,W,0,6.3,14.3,55.1,24.6,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,70대,W,1.4,26.1,36.6,29.9,13.4,평등
남녀 임금 격차에는 타당한 이유가 있다,70대,W,2.9,23.4,26.5,41.7,4.6,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,70대,W,33.9,32.8,11.6,4.9,0,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,70대,W,1.6,25,21.5,42.2,14.7,젠더
약자를 공정하게 대우하는 것이 중요하다,70대,W,0,4.5,11.1,61.8,24,약자보호
사회적 약자 보호 노력이 과하다,70대,W,2.7,27.3,38.1,26.2,12.4,평등
부는 노력보다 운에 따라 결정된다,70대,W,6.1,34,28.7,16.4,2.5,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,70대,W,0,5.8,23.9,53.1,21.1,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,70대,W,7.3,14.8,21.4,37,5.1,전통
요즘 사회는 말에 너무 민감하다,70대,W,0,4.3,11.9,60.3,21.2,과민성
부유해지는 것이 삶의 가장 중요한 목표다,70대,W,4.1,18.9,27.6,37.6,9.3,물질주의
사회가 완전히 무너져야 한다고 생각한다,70대,W,52.8,31.2,7.7,0,3,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,70대,W,1.4,3.3,9.9,54.3,32.2,평등
결혼은 개인의 선택이다,70대,W,4.2,8.9,12.7,51.9,9.2,젠더
극단주의 제압할 강력한 지도자가 필요하다,70대,W,3.3,8.9,9.4,46.2,34.5,권위주의
사회 제도를 허물고 다시 시작해야 한다,70대,W,14.1,34.3,27.1,21.2,6.8,파괴욕구
부정행위자 처벌시 기분이 좋다,70대,W,1.4,5.6,15.5,49.4,24.1,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,70대,W,0.4,9,15.3,49.9,24.1,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,70대,W,3.3,21.6,20.4,39.4,16.3,평등
여성은 가정과 아이들을 우선시해야 한다,70대,W,0.5,16.8,14.1,55.3,23.6,젠더
차별금지법은 도입되어야 한다,70대,W,5.5,13.5,35.4,34.5,5.1,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,70대,W,6.4,39.6,27.7,28.1,6.4,평등
가족보다 개인의 직업 성공이 더 중요하다,70대,W,7.6,33.3,27.9,18.9,1.7,개인주의
