question_kr,age_kr,gender,pct_sd,pct_d,pct_n,pct_a,pct_sa,keyword_kr
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",30대,여성,18.6100,39.7700,32.2100,7.6200,1.8000,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",40대,여성,17.0000,45.0700,31.6600,5.4900,0.7800,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",50대,여성,11.7300,40.3200,38.8800,7.4000,1.6700,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",60대,여성,5.1000,33.5200,38.9100,21.3100,1.1600,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",70대 이상,여성,5.2100,24.6200,37.7700,28.4200,3.9800,"정체성 단백"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",20대,남성,3.3200,11.9600,36.4400,34.6700,13.6000,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",30대,남성,4.3000,12.8200,37.8200,37.7800,7.2700,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",40대,남성,1.4600,7.3800,35.5800,45.9500,9.6200,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",50대,남성,0.6500,3.6600,27.0300,56.9300,11.7300,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",60대,남성,0.9900,2.7100,10.2100,52.7000,33.3900,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",70대 이상,남성,0.0000,2.0800,9.7100,60.1100,28.1000,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",20대,여성,4.4400,13.9500,43.4800,30.1000,8.0500,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",30대,여성,3.5900,14.4800,39.8800,33.5600,8.4900,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",40대,여성,1.1700,13.1500,37.7600,38.9200,9.0000,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",50대,여성,0.0000,12.0100,31.0100,45.9500,11.0300,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",60대,여성,0.3800,4.3600,11.4100,54.0400,29.8200,"공감 헤모글로빈"
"고통받는 사람들에 대한 연민과 동정이 사람으로서 가장 중요한 덕목이다.",70대 이상,여성,0.0000,2.0800,16.5600,58.8000,22.5600,"공감 헤모글로빈"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",20대,남성,2.8900,12.4500,22.3100,45.4700,16.8700,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",30대,남성,3.8100,9.7700,26.0100,45.2300,15.1800,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",40대,남성,2.2000,10.4100,23.6500,52.2600,11.4700,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",50대,남성,2.7100,12.0500,22.3000,53.9400,8.9900,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",60대,남성,9.5700,24.0700,19.5800,40.3500,6.4300,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",70대 이상,남성,11.2900,32.2700,13.1600,33.1800,10.0900,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",20대,여성,3.6200,14.2800,27.7800,45.8400,8.4800,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",30대,여성,4.9400,15.0200,31.6400,42.5300,5.8600,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",40대,여성,1.9900,15.8400,27.5000,50.4700,4.2000,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",50대,여성,3.3600,18.8700,26.8700,42.9000,7.9900,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",60대,여성,12.0200,34.3400,21.4300,26.2200,5.9900,"우열 수용체"
"성공하기 위해서는 다른 사람을 눌러야 할 때도 있다",70대 이상,여성,16.1400,34.5900,20.5400,22.4400,6.2900,"우열 수용체"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",20대,남성,36.9300,19.3300,23.6100,13.6000,6.5400,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",30대,남성,37.8400,28.9200,17.4200,14.1100,1.7200,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",40대,남성,32.9100,29.2800,19.9200,15.2700,2.6200,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",50대,남성,37.6400,33.3600,15.9600,10.6900,2.3500,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",60대,남성,46.9700,40.7700,6.2300,5.3600,0.6600,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",70대 이상,남성,35.5500,43.9000,8.6000,9.5400,2.4100,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",20대,여성,41.2700,24.6700,17.9400,11.6600,4.4600,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",30대,여성,49.7100,22.7600,13.5300,10.3800,3.6200,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",40대,여성,45.2600,27.7300,15.8400,9.6200,1.5400,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",50대,여성,45.3000,34.9200,13.7100,5.0600,1.0000,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",60대,여성,52.0700,38.6900,4.5100,4.0800,0.6600,"구조 백혈구"
"나는 인류의 대부분이 사라지고 소수의 사람들만 남아 새롭게 시작하는 상상을 하곤 한다.",70대 이상,여성,34.0800,38.1400,15.3100,10.4300,2.0400,"구조 백혈구"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",20대,남성,2.5000,5.7900,27.6300,38.4300,25.6600,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",30대,남성,0.4300,3.8200,26.6800,43.5800,25.4900,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",40대,남성,1.4900,5.2300,19.5700,50.6900,23.0200,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",50대,남성,0.0000,2.0100,13.2700,55.0300,29.6900,"공감 헤모글로빈"
